"ID";"Nimi";"Kokoelma";"Yleislaji";"Tyyppi";"Muistiinpanija";"Vuosi";"Sivu";"Tahtilaji";"Sävellaji";"Pitäjä";"Kylä";"Maakunta";"Lääni";"Sanat";"Kirjahuomiot";"Kommentit";"Samanlaisuus";"Intervalli";"Melodian suunta"
"kjs_0052";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Patshoin Stjoppi/A. O. Väisänen";"1919";"24";"2/4";"G";"Aunuksen Karjala";"Karjala";"Vienan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"+2-2-1-2+3-1-2+2+1+2-2-1-2+5+0+2-2-2-1-9+7+3-10+9-2-7+9+1+2-2-1-2+5+0-2+2-2+2-5+3-1-2+2+1+2-2-1-2+5+0+2-2-2-1-9+7+3-10+9-2-7+9+5-2-2-1-9+7+5+0";"udddudduuudddurudddduududduuudddurdudududduuudddurudddduududduudddduur"
"kjs_0053";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Iivana Lösönen/A. O. Väisänen";"1916";"24";"2/4";"G";"Suistamo";"Leppäsyrjä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Minä, minä, poiga nuori kui kesäl heinä, Minä, minä, poiga nuori kui kesäl heinä, otan, otan oman kullan vaikka läbi seinän, otan, otan oman kullan vaikka läbi seinän.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 152";"";"Laulusävelmät: [1] [2] [3] [4] [5]";"+3-3+3-2-1-2-2+9-2-5+2+1+2+0-3+3-3+3-2-1-2-2+9-2-5+2+1+2+0-2+0+4-4-1+0+3-3-2+0+5-2-1+3-2+0+4-4-1+0+3-3-2+0+5-2-1+3-3+3-3+3-2-1-2-2+9-2-5+2+1+2+0-3+3-3+3-2-1-2-2+9-2-5+2+1+2+0-2+0+4-4-1+0+3-3-2+0+5-2-1+3-2+0+4-4-1+0+3-3-2+0+5-2-1+3";"ududdddudduuurdududdddudduuurdruddruddruddudruddruddruddudududdddudduuurdududdddudduuurdruddruddruddudruddruddruddu"
"kjs_0054";"Loru";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Iivana Lösönen/A. O. Väisänen";"1916";"25";"2/4";"G";"Suistamo";"Leppäsyrjä";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 152";"";"";"+0+0-4+2+0+0-5+2+1+2-2-1-2+5-2+4+0+0-4+2+0+0-5+2+1+2-2-1-2+5-5+2+1+2-2-1-2+5";"rrdurrduuudddudurrdurrduuuddduduuudddu"
"kjs_0055";"""Kasaski""";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Juhana Kiiskinen/A. Lähteenkorva";"16";"25";"2/4";"G";"Pielisjärvi";"Kylänlahti";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"""Sovitus""";"";"-12+12-12+7-7+7-7+5-5+5-1+3-2+0-5+0+5+0-1+3-2-5+5-1+3-2+0-5+0+5+0-1+3-2+2+2-2-2-1-2-2+4+1+2+0-3+1+2-3+8-5+2-2-2-1-2-2+4+1+2+0-3+3-3+8";"dududududududrdrurduddududrdrurduduuddddduuurduudududdddduuurdudu"
"kjs_0056";"""Kakkunassi""";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Taavi Kiiskinen/A. O. Väisänen";"1917";"25";"2/4";"G";"Pielisjärvi";"";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 88, äänitteet: prl. 12, 10-16";"";"";"+7-2+0+4-7+0+3-1-2-2+7-2+4-7+0+3-1-2-2+0+4-2-3+1-3+2-4+5+4-2-3+1-3-2+10+0-1+0-4+2+0-2+4+0-4+5+0-1+0-4+2+0-3+1+5-1+0-4+2+0-2+4+0-4+5+0-1+0-4+2+0-3+1";"udrudrudddududrudddruddududuudduddurdrdurdurdurdrdurduudrdurdurdurdrdurdu"
"kjs_0057";"""Veneähen laulu""";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Teppana Jänis/A. O. Väisänen";"1916";"26";"2/4";"G";"Suistamo";"Maisu";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 132";"";"";"+12+0-3+1+4-4-1+3-3-2-7+2+2+8+0-3+1+7-7-1+3+5-7-1-2+5+0-5+0+0+0+0+0-3+5+0-2+0+0+0+5+0+0-2+4-5+3-5-5+2+8+0-3+1+7-7-1+3+0-2-1-2+5+0-5+0+0+0+0+0-3+5+0-2+0+0+0+5+0+0";"urduudduddduuurduudduudddurdrrrrrdurdrrrurrdududduurduuddurdddurdrrrrrdurdrrrurr"
"kjs_0058";"""Jurvala""";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Juhana Kiiskinen/A. Lähteenkorva";"16";"26";"2/4";"G";"Pielisjärvi";"Kylänlahti";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella";"";"";"+4+3-12+12+2-2-2-1+1+2-2-3-7+7+5-5+5+0+2-2-2-1+1+2-2-3+5+0-3+0-4+4-4+2-3+3-3+1+2+2+1+2-3+0+0+0-4+2-3+3-3+1";"uuduuddduuddduuduruddduuddurdrdudududuuuuudrrrdududu"
"kjs_0059";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Taavi Kiiskinen/A. O. Väisänen";"1917";"27";"2/4";"G";"Pielisjärvi";"";"Pohjois-Karjala";"Oulun lääni";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 116, äänitteet: prl. 12, 15-20";"";"";"+0+4+3+0+2-2-2-1-4+0+2+2+1+0-1+0+0-2+0+0+0+0+0+2+1-1+3-2+0-1-2-2+0+0+0+0+4+3-3-2-3+3-2+0+0+4+3+0+2-2-2-1-4+0+2+2+1-1-2+2+0-2+0+0+0+0+0+2+1-1+3-2+0-1-2-2+0+0+0+0+4+3-3-2-3+3-2";"ruuruddddruuurdrrdrrrrruududrdddrrrruudddudrruuruddddruuuddurdrrrrruududrdddrrrruudddud"
"kjs_0060";"""Veneähen laulu""";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"3-iskuiset säkeet";"Teppana Jänis/A. O. Väisänen";"1916";"27";"3/4";"G";"Suistamo";"Maisu";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 132";"";"";"-3+3-2-1-2+5+0+0-2+4-5+3-5+0+2-2-2-1-2+5+2-2-2+2-5+10+0+0-2+4-5+3-5+0+2-2-2-1-2+5+2-2-2+2-5+10+0-3+1+2-2-1-2+5+0+0-2+7-8+3-5+0+2-2-2-1-2+5+2+0-2-2+7+0+0-2+7-8+3-5+0+2-2-2-1-2+5+2+0-2-2+7";"dudddurrdududrudddduuddudurrdududrudddduuddudurduudddurrdududrudddduurddurrdududrudddduurddu"
"kjs_0061";"";"Kantele- ja jouhikkosävelmät";"Laulusävelmiä";"4-iskuiset säkeet";"Vanja Trofimov/A. O. Väisänen";"1917";"27";"5/8, 3/4,";"G";"Suojärvi";"Kuikkaniemi";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"Olin ved mie pienembänä, lapsien keral gulaitsin, Olin ved mie pienembänä, lapsien keral gulaitsin. Tuli tsiganiha nuori, otti käen kädehen, Tuli tsiganiha nuori, otti käen kädehen.";"soittotapa: Yhdysasentoinen, soitin: Useampikielisellä kanteleella, tempo: 108, äänitteet: prl. 44, 49-53";"Vaihtelevat sormiasennot";"";"+5+2-2-3-4-1-2+7+0-2-2-1-2+2+3+9-2-2-3-4-1-2+7+0-2-2-3+2";"uudddddurdddduuuddddddurdddu"
"kjs_0062";"""Toaton soittama""";"Kantele- ja jouhikkosävelmät";"Tanssisävelmiä";"4-iskuiset säkeet";"Ontreini Jyrki/A. Lähteenkorva";"14";"28";"2/4";"G";"Vienan Karjala(Vuonninen)";"Vuonninen";"Vienan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella";"";"";"-3-4+0+7-2-1-2-2+0+7-3-4+0+7-2-1-2-2";"ddruddddruddrudddd"
"kjs_0063";"""Ripatshka""";"Kantele- ja jouhikkosävelmät";"Tanssisävelmiä";"4-iskuiset säkeet";"Fedja Happo/A. O. Väisänen";"1917";"28";"2/4";"G";"Suojärvi";"Vuondele";"Laatokan Karjala";"Karjalan, Inkerin, ym. alueet";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella, tempo: 120, äänitteet: prl. 44,0-17";"";"";"+0-2-1+3-5+5-3+3+0+0-2-1+3-5+5-3+3+0+0-2-1+3-5+5-3+3+0+0-2-1+3-5+5+0-5+5-2-1+3-5+5-3+3-5+5-2-1+3+0+0+0-2-1-2-2+4-2+5-3+3+0-2-1-2-2+4-2+3-1+3+0-5+2-4+2+3-1-4+2+3-1-2-2+4-2+5-3+3-5+3-1-2-2+4-2+5+0+0+0-5+3+2+0+0-5+3+2-2+2-2-1+1+2-5+3-1+3+0-2-1+3-5+3-1+3+0+0-2-1+3-5+5-2-1+3+0+0-2-1+3-5+3-1+3+0-2-1+3-5+2+3+0-2-1+3-5+2+3+0-2-1+3-5+3-1+3-2-1-2+2+3-5+2+3-2-1-2+2+3-5+5";"rddududurrddududurrddududurrddudurduddududududdurrrddddududurddddududurduduudduudddududududddudurrrduurrduududduududurddududurrddududdurrddududurdduduurdduduurddudududdduuduuddduudu"
"kjs_0064";"""Rissakka""";"Kantele- ja jouhikkosävelmät";"Tanssisävelmiä";"4-iskuiset säkeet";"Heikki Halonen/A. O. Väisänen";"1917";"29";"2/4";"g";"Lapinlahti";"Akkala";"Pohjois-Savo";"Itä-Suomen lääni";"";"soittotapa: Yhdysasentoinen, soitin: 5-kielisellä kanteleella, tempo: 132";"";"";"+4-4+4-5+1+2-3-2+7-4+4-4+4-5+1+2-3-2+3+0+0+4-2-3+3-2-3+7-4+0+0+4-2-3+3-2+4";"ududuuddudududuuddurrudduddudrruddudu"
